stock_label,name,close,date,industry_type,open,high,low,unit,per,psr,pbr,volume,market_capitalization,issued_shares,crawl_datetime,code
4385  東証マザーズ,メルカリ,"2,443.0",株価(02/28),業種情報・通信業,"2,302.0円","2,459.0円","2,289.0円",100株,---,7.28倍,7.39倍,"2,150,700株","376,677百万円","154,186千株",2020-03-01T18:25:17,4385
4386  東証２部,ＳＩＧ,508.0,株価(02/28),業種情報・通信業,507.0円,534.0円,486.0円,100株,10.81倍,0.69倍,2.16倍,"102,900株","2,934百万円","5,775千株",2020-03-01T18:25:19,4386
4387  東証マザーズ,ＺＵＵ,"2,780.0",株価(02/28),業種情報・通信業,"2,990.0円","2,990.0円","2,752.0円",100株,52.84倍,4.45倍,5.93倍,"5,500株","5,872百万円","2,112千株",2020-03-01T18:25:21,4387
4388  東証マザーズ,エーアイ,"1,353.0",株価(02/28),業種情報・通信業,"1,345.0円","1,438.0円","1,328.0円",100株,43.87倍,9.43倍,6.30倍,"148,900株","6,951百万円","5,138千株",2020-03-01T18:25:22,4388
4389  東証マザーズ,プロパティデータバンク,723.0,株価(02/28),業種情報・通信業,750.0円,761.0円,710.0円,100株,19.47倍,2.63倍,2.42倍,"180,600株","4,258百万円","5,890千株",2020-03-01T18:25:24,4389
4390  東証マザーズ,アイ・ピー・エス,"1,192.0",株価(02/28),業種情報・通信業,"1,213.0円","1,276.0円","1,176.0円",100株,23.54倍,2.54倍,3.94倍,"357,400株","14,721百万円","12,350千株",2020-03-01T18:25:26,4390
4391  東証マザーズ,ロジザード,"1,350.0",株価(02/28),業種情報・通信業,"1,414.0円","1,474.0円","1,345.0円",100株,26.91倍,3.02倍,4.22倍,"53,900株","4,398百万円","3,258千株",2020-03-01T18:25:28,4391
4393  東証マザーズ,バンク・オブ・イノベーション,"1,580.0",株価(02/28),業種情報・通信業,"1,689.0円","1,769.0円","1,553.0円",100株,16.44倍,1.45倍,4.44倍,"203,400株","6,236百万円","3,947千株",2020-03-01T18:25:30,4393
4394  東証マザーズ,エクスモーション,"1,498.0",株価(02/28),業種情報・通信業,"1,502.0円","1,571.0円","1,426.0円",100株,28.57倍,4.29倍,3.01倍,"72,700株","4,190百万円","2,797千株",2020-03-01T18:25:31,4394
4395  東証マザーズ,アクリート,827.0,株価(02/28),業種情報・通信業,874.0円,900.0円,817.0円,100株,26.59倍,3.23倍,4.45倍,"570,800株","4,566百万円","5,522千株",2020-03-01T18:25:33,4395
4396  東証１部,システムサポート,"2,506.0",株価(02/28),業種情報・通信業,"2,798.0円","2,837.0円","2,473.0円",100株,35.60倍,1.07倍,6.38倍,"272,000株","12,617百万円","5,035千株",2020-03-01T18:25:36,4396
4397  東証マザーズ,チームスピリット,"1,919.0",株価(02/28),業種情報・通信業,"2,031.0円","2,082.0円","1,904.0円",100株,134.47倍,17.07倍,27.72倍,"324,400株","31,078百万円","16,195千株",2020-03-01T18:25:38,4397
4398  東証JASDAQ（スタンダード）,ブロードバンドセキュリティ,992.0,株価(02/28),業種情報・通信業,"1,032.0円","1,067.0円",982.0円,100株,63.67倍,1.07倍,4.83倍,"95,400株","3,951百万円","3,983千株",2020-03-01T18:25:40,4398
4420  東証１部,イーソル,"1,525.0",株価(02/28),業種情報・通信業,"1,569.0円","1,615.0円","1,503.0円",100株,47.05倍,3.39倍,6.38倍,"360,000株","32,727百万円","21,460千株",2020-03-01T18:25:41,4420
4421  東証JASDAQ（スタンダード）,ディ・アイ・システム,"1,141.0",株価(02/28),業種情報・通信業,"1,152.0円","1,193.0円","1,135.0円",100株,10.79倍,0.45倍,2.00倍,"12,300株","1,739百万円","1,524千株",2020-03-01T18:25:43,4421
