open,high,low,close,volume,date
28995.66,29278.07,28995.66,29276.82,,2020-02-10
29286.92,29286.92,29056.98,29102.51,67829314.0,2020-02-07
29388.58,29408.05,29246.93,29379.77,79384861.0,2020-02-06
29048.73,29308.89,29000.85,29290.85,94516058.0,2020-02-05
28696.74,28904.88,28696.74,28807.63,89591754.0,2020-02-04
28319.65,28630.39,28319.65,28399.81,87684545.0,2020-02-03
28813.04,28813.04,28169.53,28256.03,118882160.0,2020-01-31
28640.16,28879.71,28489.76,28859.44,84876065.0,2020-01-30
28820.53,28944.24,28728.19,28734.45,80738981.0,2020-01-29
28594.28,28823.23,28575.75,28722.85,86666750.0,2020-01-28
28542.49,28671.79,28440.47,28535.8,99290901.0,2020-01-27
29230.39,29288.79,28843.31,28989.73,97900285.0,2020-01-24
29111.02,29190.47,28966.98,29160.09,84967865.0,2020-01-23
29263.63,29320.2,29172.26,29186.27,78523146.0,2020-01-22
29269.05,29341.21,29146.47,29196.04,100433330.0,2020-01-21
29313.31,29373.62,29289.91,29348.1,119226506.0,2020-01-17
29131.95,29300.32,29131.95,29297.64,74494972.0,2020-01-16
28901.8,29127.59,28897.35,29030.22,78350616.0,2020-01-15
28895.5,29054.16,28872.27,28939.67,84258567.0,2020-01-14
28869.01,28909.91,28819.43,28907.05,72234282.0,2020-01-13
28977.52,29009.07,28789.1,28823.77,65161444.0,2020-01-10
28851.97,28988.01,28844.31,28956.9,76713631.0,2020-01-09
28556.14,28866.18,28522.51,28745.09,80874288.0,2020-01-08
28639.18,28685.5,28565.28,28583.68,71315716.0,2020-01-07
28465.5,28708.02,28418.63,28703.38,79138409.0,2020-01-06
28553.33,28716.31,28500.36,28634.88,75068172.0,2020-01-03
28638.97,28872.8,28627.77,28868.8,73668133.0,2020-01-02
28414.64,28547.35,28376.49,28538.44,68714703.0,2019-12-31
28654.76,28664.69,28428.98,28462.14,55210269.0,2019-12-30
28675.34,28701.66,28608.98,28645.26,59172869.0,2019-12-27
28539.46,28624.1,28535.15,28621.39,49393283.0,2019-12-26
28572.57,28576.8,28503.21,28515.45,25123910.0,2019-12-24
28491.78,28582.49,28491.78,28551.53,67955055.0,2019-12-23
28608.64,28608.64,28445.6,28455.09,284861411.0,2019-12-20
28278.31,28381.48,28278.24,28376.96,89718975.0,2019-12-19
28291.44,28323.25,28239.28,28239.28,87293380.0,2019-12-18
28221.75,28328.63,28220.56,28267.16,85978034.0,2019-12-17
28191.67,28337.49,28191.67,28235.89,91802249.0,2019-12-16
28123.64,28290.73,28028.32,28135.38,72738142.0,2019-12-13
27898.34,28224.95,27859.87,28132.05,80090242.0,2019-12-12
27867.31,27925.5,27801.8,27911.3,63653881.0,2019-12-11
27900.65,27949.02,27804.0,27881.72,63947813.0,2019-12-10
27987.05,28010.42,27906.14,27909.6,71818333.0,2019-12-09
27839.68,28035.85,27839.68,28015.06,67792746.0,2019-12-06
27736.05,27745.2,27562.8,27677.79,64808600.0,2019-12-05
27634.63,27727.45,27612.08,27649.78,68924995.0,2019-12-04
27501.98,27524.74,27325.13,27502.81,77535475.0,2019-12-03
28109.74,28109.84,27782.35,27783.04,73213626.0,2019-12-02
28103.16,28119.51,28042.53,28051.41,45565528.0,2019-11-29
28156.47,28174.97,28075.23,28164.0,60320818.0,2019-11-27
28080.75,28146.02,28042.21,28121.68,125691057.0,2019-11-26
27917.77,28068.69,27917.77,28066.47,73254149.0,2019-11-25
27831.23,27898.46,27773.98,27875.62,62664563.0,2019-11-22
27820.28,27828.33,27708.34,27766.29,64367510.0,2019-11-21
27879.55,27897.28,27675.28,27821.09,78681691.0,2019-11-20
28079.76,28090.21,27894.52,27934.02,73002435.0,2019-11-19
27993.22,28040.97,27969.24,28036.22,70233796.0,2019-11-18
27843.54,28004.89,27843.54,28004.89,91951930.0,2019-11-15
27757.2,27800.71,27676.97,27781.96,72440967.0,2019-11-14
27622.04,27806.4,27587.2,27783.59,74583182.0,2019-11-13
27701.59,27770.86,27635.32,27691.49,60782966.0,2019-11-12
27580.66,27714.39,27517.67,27691.49,53030637.0,2019-11-11
27686.2,27694.95,27578.97,27681.24,62357125.0,2019-11-08
27590.16,27774.67,27590.16,27674.8,74687885.0,2019-11-07
27502.74,27526.05,27407.81,27492.56,75957629.0,2019-11-06
27500.23,27560.36,27453.55,27492.63,85472338.0,2019-11-05
27402.06,27517.58,27402.06,27462.11,73925734.0,2019-11-04
27142.95,27347.43,27142.95,27347.36,78432580.0,2019-11-01
27188.37,27188.37,26918.29,27046.23,88293040.0,2019-10-31
27110.71,27204.36,26999.64,27186.69,61089711.0,2019-10-30
27061.07,27165.94,27039.76,27071.42,69014560.0,2019-10-29
